t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet1,Qhc,Qpipe,Qet2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
15570,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15571,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15572,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15573,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15574,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15575,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15576,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15577,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15578,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15579,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15580,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15581,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15582,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15583,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15584,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15585,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15586,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15587,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15588,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
