t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
30,0.000400802,0.0,0.3236066855649005,0.00016036007430537066,0,8.147592982298776e-05,0.0,0.0,8.147592982298776e-05,0.0,0.32488282682471536,0.4,0,0,0.0,0.33002108853711537,0.9229625762065776,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.008147592982298774
31,0.000400802,0.0,0.333150037184615,0.00016221820950713874,0,0.00010211488545329885,0.0,0.0,0.00010211488545329885,0.0,0.3296910927490226,0.4,0,0,0.0,0.3396387655649005,0.9366224225824504,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.010211488545329883
32,0.000400802,0.0,0.3426196377830123,0.0001640619850400676,0,0.00012139306662801702,0.0,0.0,0.00012139306662801702,0.0,0.3331046062219866,0.4,0,0,0.0,0.349182117184615,0.9463199040397346,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012139306662801703
33,0.0,0.0,0.3361078732222252,0.00016279411401967796,0,0.0001340218137477631,0.0,0.0,0.0001340218137477631,0.0,0.3354063902437398,0.4,0,0,0.0,0.3426196377830123,0.9528590631924425,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.013402181374776312
34,0.0,0.0,0.3296464315779638,0.0001615360411065339,0,0.0001426807287070586,0.0,0.0,0.00014268072870705857,0.0,0.3369148152356978,0.4,0,0,0.0,0.3361078732222252,0.9571443614650504,0.5,3.4622471719019526e-18,0.4,0.35200000000000004,0.014268072870705858
35,0.0,0.0,0.3232349239547293,0.0001602876905808626,0,0.00014806429159442864,0.0,0.0,0.00014806429159442867,0.0,0.33789268715461246,0.4,0,0,0.0,0.3296464315779638,0.9599224066892399,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.014806429159442868
36,0.0,0.0,0.31687296446240715,0.00015904898730805368,0,0.00015107013797722825,0.0,0.0,0.00015107013797722825,0.0,0.33853099510107854,0.4,0,0,0.0,0.3232349239547293,0.9617357815371548,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.015107013797722824
37,0.0,0.0,0.31056017019304166,0.00015781985673413704,0,0.00015248526021433343,0.0,0.0,0.00015248526021433343,0.0,0.3389577628226629,0.4,0,0,0.0,0.31687296446240715,0.9629481898371103,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.015248526021433341
38,0.0,0.0,0.30429616119778985,0.00015660022488129562,0,0.0001528888082244502,0.0,0.0,0.0001528888082244502,0.0,0.33925467615521054,0.4,0,0,0.0,0.31056017019304166,0.9637916936227571,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.01528888082244502
39,0.0,0.0,0.29808056046405335,0.00015539001834341299,0,0.00015266869815514658,0.0,0.0,0.00015266869815514658,0.0,0.33947238177027195,0.4,0,0,0.0,0.30429616119778985,0.964410175483727,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.015266869815514658
